1982:Aneela sex(FEMALE),count(1)
1982:Aneesa sex(FEMALE),count(2)
1982:Angela sex(FEMALE),count(314)
1982:Angela-Lee sex(FEMALE),count(1)
1982:Angelene sex(FEMALE),count(1)
1982:Angelina sex(FEMALE),count(5)
1982:Angeline sex(FEMALE),count(1)
1982:Angflina sex(FEMALE),count(1)
1982:Angharad sex(FEMALE),count(1)
1982:Angie sex(FEMALE),count(4)
1982:Angus sex(MALE),count(33)
1982:Anh sex(MALE),count(1)
1982:Anika sex(FEMALE),count(3)
1982:Anil sex(MALE),count(1)
1982:Anila sex(FEMALE),count(1)
1982:Anis sex(MALE),count(1)
1982:Anissa sex(FEMALE),count(1)
1982:Anita sex(FEMALE),count(10)
1982:Anja sex(FEMALE),count(1)
1982:Anji sex(FEMALE),count(2)
1982:Anjum sex(FEMALE),count(1)
1982:Ann sex(MALE),count(1)
1982:Ann sex(FEMALE),count(64)
1982:Ann-Louise sex(FEMALE),count(1)
1982:Ann-Maree sex(FEMALE),count(1)
1982:Ann-Marie sex(FEMALE),count(17)
1982:Anna sex(FEMALE),count(100)
1982:Anna-Marie sex(FEMALE),count(1)
1982:Anna-Ruth sex(FEMALE),count(1)
1982:Anna-Teraysa sex(FEMALE),count(1)
1982:Annabel sex(FEMALE),count(4)
1982:Annabella sex(FEMALE),count(1)
1982:Annabelle sex(FEMALE),count(2)
1982:Annalisa sex(FEMALE),count(1)
1982:Annamarie sex(FEMALE),count(2)
1982:Annchris sex(FEMALE),count(1)
1982:Anndrea sex(FEMALE),count(1)
1982:Anne sex(FEMALE),count(106)
1982:Anne-Louise sex(FEMALE),count(1)
1982:Anne-Marie sex(FEMALE),count(19)
1982:Anneila sex(FEMALE),count(1)
1982:Anneli sex(FEMALE),count(1)
1982:Anneliese sex(FEMALE),count(1)
1982:Annelise sex(FEMALE),count(1)
1982:Annemarie sex(FEMALE),count(7)
1982:Annette sex(FEMALE),count(17)
1982:Annie sex(FEMALE),count(3)
1982:Annie-Celeste sex(FEMALE),count(1)
1982:Annmarie sex(FEMALE),count(19)
1982:Anour sex(FEMALE),count(1)
1982:Anoushka-Johan sex(FEMALE),count(1)
1982:Anson sex(MALE),count(1)
1982:Anthea sex(FEMALE),count(2)
1982:Anthony sex(MALE),count(140)
1982:Antionette sex(FEMALE),count(1)
1982:Antoinette sex(FEMALE),count(1)
1982:Anton sex(MALE),count(2)
1982:Antoni sex(MALE),count(1)
1982:Antonia sex(FEMALE),count(9)
1982:Antonio sex(MALE),count(5)
1982:Antonnia sex(FEMALE),count(1)
1982:Antony sex(MALE),count(18)
1982:Antoon sex(MALE),count(1)
1982:Anveer sex(FEMALE),count(1)
1982:Anwar sex(MALE),count(1)
1982:Anwen sex(FEMALE),count(1)
1982:Anya sex(FEMALE),count(1)
1982:Aoife sex(FEMALE),count(1)
1982:Aonghas sex(MALE),count(1)
1982:Apala sex(FEMALE),count(1)
1982:April sex(FEMALE),count(7)
1982:Aqib sex(MALE),count(1)
1982:Aqsa sex(FEMALE),count(1)
1982:Arabella sex(FEMALE),count(1)
1982:Archibald sex(MALE),count(5)
1982:Archie sex(MALE),count(1)
1982:Ardalan sex(MALE),count(1)
1982:Arfan sex(MALE),count(1)
1982:Arfhan sex(MALE),count(1)
1982:Ariadne sex(FEMALE),count(1)
1982:Arian sex(MALE),count(1)
1982:Ariana sex(FEMALE),count(1)
1982:Arianna sex(FEMALE),count(2)
1982:Arianne sex(FEMALE),count(1)
1982:Arianwen sex(FEMALE),count(1)
1982:Ariel sex(FEMALE),count(1)
1982:Arif sex(MALE),count(2)
1982:Arif sex(FEMALE),count(1)
1982:Arifa sex(FEMALE),count(1)
1982:Arjmand sex(FEMALE),count(1)
1982:Arleen sex(FEMALE),count(1)
1982:Arlene sex(FEMALE),count(63)
1982:Arman sex(MALE),count(1)
1982:Armand sex(MALE),count(1)
1982:Arnout sex(MALE),count(1)
1982:Aron sex(MALE),count(1)
1982:Arpana sex(FEMALE),count(1)
1982:Arran sex(MALE),count(7)
1982:Arran sex(FEMALE),count(1)
1982:Arrielle sex(FEMALE),count(1)
1982:Arron sex(MALE),count(4)
1982:Arsif sex(MALE),count(1)
1982:Arthur sex(MALE),count(4)
1982:Aruj sex(FEMALE),count(1)
1982:Arun sex(MALE),count(1)
1982:Aruna sex(FEMALE),count(1)
1982:Arvind sex(MALE),count(1)
1982:Ased sex(MALE),count(1)
1982:Aseem sex(MALE),count(1)
1982:Asha sex(FEMALE),count(5)
1982:Ashea sex(FEMALE),count(1)
1982:Asher sex(MALE),count(1)
1982:Ashia sex(FEMALE),count(1)
1982:Ashlee sex(FEMALE),count(2)
1982:Ashleigh sex(FEMALE),count(38)
1982:Ashley sex(MALE),count(13)
1982:Ashley sex(FEMALE),count(120)
1982:Ashley-Jayne sex(FEMALE),count(1)
1982:Ashlie sex(FEMALE),count(3)
1982:Ashly sex(FEMALE),count(1)
1982:Ashraf sex(MALE),count(3)
1982:Asia sex(FEMALE),count(2)
1982:Asief sex(MALE),count(1)
1982:Asif sex(MALE),count(8)
1982:Asim sex(MALE),count(5)
1982:Asjad sex(MALE),count(1)
1982:Asma sex(FEMALE),count(1)
1982:Asmaa sex(FEMALE),count(1)
1982:Asman sex(MALE),count(1)
1982:Assma sex(FEMALE),count(1)
1982:Assra sex(FEMALE),count(1)
1982:Astrid sex(FEMALE),count(3)
1982:Astro-X-Hollida sex(FEMALE),count(1)
1982:Atalla sex(FEMALE),count(1)
1982:Athelstan sex(MALE),count(1)
1982:Athol sex(MALE),count(2)
1982:Atholl sex(MALE),count(1)
1982:Atif sex(MALE),count(2)
1982:Atiya sex(FEMALE),count(1)
1982:Attif sex(MALE),count(1)
1982:Audrey sex(FEMALE),count(26)
1982:Augustin sex(MALE),count(1)
1982:Aumar sex(MALE),count(1)
1982:Aurelie sex(FEMALE),count(1)
1982:Austen sex(MALE),count(1)
1982:Austin sex(MALE),count(7)
1982:Autumn sex(FEMALE),count(2)
1982:Avene sex(FEMALE),count(1)
1982:Avital sex(FEMALE),count(1)
1982:Avnish sex(MALE),count(1)
